row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,was_in_794_shortlist,known_pattern,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes
16010080:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,135.66,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010081:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,735.4214,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010082:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,32.538,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010083:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,18.9316,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010084:IP5_A_IP6,"Infant flour, cereal-based, commercially produced, fortified",IP5_A_IP6,12.0,"Babyfood, baked product, finger snacks cereal fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, baked product, finger snacks cereal fortified', 'Pie, apple, commercially prepared, enriched flour') are too textually similar to the source description (0.35 vs 0.53 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_finger_snack_not_dry_cereal,,,,,,,
16010085:PHYTC-,"Infant flour, cereal-based, farex",PHYTC-,836.0,"Flowers Foods, Inc. LOW FAT CEREAL BARS",branded_food,fuzzy,"top two name-search candidates ('Flowers Foods, Inc. LOW FAT CEREAL BARS', 'Fareway Stores, Inc. BRAN FLAKES CEREAL') are too textually similar to the source description (0.42 vs 0.39 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,,,,,,,,
16010086:IP5,"Infant flour, cereal-based, fortified",IP5,32.604,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010086:IP6,"Infant flour, cereal-based, fortified",IP6,257.868,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010086:IP5_A_IP6,"Infant flour, cereal-based, fortified",IP5_A_IP6,290.472,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010087:IP5,"Infant flour, cereal-based, fortified",IP5,43.208,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010087:IP6,"Infant flour, cereal-based, fortified",IP6,264.158,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010087:IP5_A_IP6,"Infant flour, cereal-based, fortified",IP5_A_IP6,307.366,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010088:IP5,"Infant flour, cereal-based, fortified",IP5,19.66,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010088:IP6,"Infant flour, cereal-based, fortified",IP6,178.90599999999998,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010088:IP5_A_IP6,"Infant flour, cereal-based, fortified",IP5_A_IP6,198.56599999999997,"Babyfood, cereal, barley, dry fortified",sr_legacy_food,fuzzy,"top two name-search candidates ('Babyfood, cereal, barley, dry fortified', 'Babyfood, cereal, rice, dry fortified') are too textually similar to the source description (0.63 vs 0.59 similarity) to place confidently",YES,LIKELY_CORRECT_dry_babyfood_cereal,,,,,,,
16010089:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,313.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010090:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,332.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010091:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,366.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010092:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,308.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010093:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,375.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010094:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,380.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010095:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,487.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010096:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,465.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010097:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,299.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010098:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,307.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010099:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,402.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010100:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,333.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010101:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,378.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010102:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,451.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010103:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,306.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010104:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,241.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010105:PHYTCPP,"Infant flour, rice-based, commercially produced",PHYTCPP,252.0,"Pie, apple, commercially prepared, enriched flour",sr_legacy_food,fuzzy,"top two name-search candidates ('Pie, apple, commercially prepared, enriched flour', 'Pie, apple, commercially prepared, unenriched flour') are too textually similar to the source description (0.48 vs 0.47 similarity) to place confidently",NO - was in the 1462 spot-sampled-only bucket,WRONG_CATEGORY_apple_pie_phrase_magnet,,,,,,,
16010107:PHYTC-,"Infant flour, Soylac",PHYTC-,460.0,"Flour, soy, full-fat",foundation_food,fuzzy,"top two name-search candidates ('Flour, soy, full-fat', 'Soy flour, low-fat') are too textually similar to the source description (0.60 vs 0.53 similarity) to place confidently",YES,,,,,,,,
